"","STATE","CA","COND","MG","Sodium","ANC","CL","NH4","NO3","NTL","PTL"
"25","WA",217.7,56.39,97.2,192.2,259.3,103.2,0.6,2.9,99.375,9.07625
"26","WA",246.4,76.42,157.8,331.2,551.1,144.1,2.9,5,210,37.13875
"27","WA",286.9,46.01,56.1,99.9,334.2,16.4,0.5,2.9,46,2.926
"28","WA",114.1,35.63,252.9,9.2,350.2,5.4,0.3,0,27.5,0.4425
"29","WA",265,36.97,31.9,69.1,313.8,18.5,0.3,1.7,24,0.976
"30","OR",200.7,34.94,55.7,109.3,337.9,20,0.4,2.1,55,3
"31","WA",77.3,19.38,30,77.1,167.4,8.2,0.5,0,40,4.5725
"32","WA",181.6,26.32,30.4,25.6,200.6,5,0.4,6.4,87.5,0.50875
"33","WA",300.4,41.45,50.5,42.1,367.8,9,0.4,1.6,21,0.973
"34","WA",1121.3,224.8,688.7,524.6,2105.4,76.2,0.8,117.5,2003.75,86.1
"35","WA",2353.8,303.1,874.5,157.8,3266.9,13.9,0.3,3.1,72.5,15.825
"36","WA",197,49.33,247.9,42.8,453.7,13.5,0.4,1.8,44.375,0.9375
"37","WA",515.5,67.57,104.6,47.4,593,5,0.2,2.5,18,1.714
"38","WA",115.6,28.19,51.9,71.6,195.3,14.2,0.4,3.6,80,3.77125
"39","WA",584.8,118.2,356.4,277.9,1003.9,73.6,0.9,18.6,396.25,31.82625
"40","WA",126.6,26,80.9,34.1,209.4,9,0.5,3.6,75,5.1025
"41","OR",1904.8,453.9,1255.5,1575.7,4358.7,276.1,5.6,17.1,1096,227
"42","OR",1946.1,326.7,1000.1,574.1,3388.2,33,0.4,0,133,153
